J_kSalt_15K_v8_w,eps1,eps2
3.22,-1028.41568,23075.2543
3.23,-1027.007767,23002.46266
3.24,-1025.608752,22930.21434
3.25,-1024.42772,22858.28866
3.26,-1023.036603,22786.6942
3.27,-1021.872393,22715.84678
3.28,-1020.49878,22645.32723
3.29,-1019.124505,22574.91725
3.3,-1017.768752,22505.46566
3.31,-1016.619432,22435.90433
3.32,-1015.271641,22367.09004
3.33,-1014.139235,22298.58781
3.34,-1012.593313,22230.62198
3.35,-1011.468573,22162.75024
3.36,-1010.146688,22095.61778
3.37,-1009.038924,22028.79224
3.38,-1007.725059,21962.28226
3.39,-1006.420176,21896.29141
3.4,-1005.32848,21830.60398
3.41,-1004.031645,21765.22865
3.42,-1002.743808,21700.36806
3.43,-1001.464975,21636.02033
3.44,-1000.185524,21571.76808
3.45,-999.117728,21507.81395
3.46,-997.856001,21444.58096
3.47,-996.593664,21381.44099
3.48,-995.55172,21319.00886
3.49,-994.297503,21256.4665
3.5,-993.263089,21194.62896
3.51,-992.026656,21133.09188
3.52,-990.789625,21071.6442
3.53,-989.561648,21010.69601
3.54,-988.342731,20950.24554
3.55,-987.2726219,20890.14451
3.56,-986.1018464,20830.23423
3.57,-984.9997424,20770.75505
3.58,-983.7775135,20711.48589
3.59,-982.6438118,20652.62469
3.6,-981.5982965,20594.17006
3.61,-980.4330734,20535.92273
3.62,-979.3559324,20478.07978
3.63,-978.159549,20420.44254
3.64,-977.0511426,20363.20751
3.65,-975.8239546,20306.17659
3.66,-974.704284,20249.52512
3.67,-973.6720966,20193.27242
3.68,-972.5214756,20137.22125
3.69,-971.458236,20081.56672
3.7,-970.2965488,20026.09166
3.71,-969.2220852,19971.01119
3.72,-968.254,19916.30355
3.73,-967.1682202,19861.7934
3.74,-965.9652396,19807.48026
3.75,-965.091696,19753.71083
3.76,-963.8779657,19699.9631
3.77,-962.7897326,19646.56322
3.78,-961.787885,19593.55063
3.79,-960.6695,19540.73117
3.8,-959.6759277,19488.2565
3.81,-958.5661438,19435.97357
3.82,-957.5616532,19384.05381
3.83,-956.6620669,19332.49604
3.84,-955.4644048,19280.91593
3.85,-954.5538214,19229.90792
3.86,-953.5658847,19179.04771
3.87,-952.4627506,19128.37509
3.88,-951.4832568,19078.04009
3.89,-950.3888809,19027.89135
3.9,-949.4178443,18978.07846
3.91,-948.4120397,18928.52641
3.92,-947.4095238,18879.19458
3.93,-946.4112746,18830.12118
3.94,-945.4172957,18781.30545
3.95,-944.426615,18732.70793
3.96,-943.4411871,18684.40535
3.97,-942.4590643,18636.31956
3.98,-941.4812256,18588.48856
3.99,-940.5066983,18540.87305
4,-939.5364618,18493.51094
4.01,-938.5705198,18446.40147
4.02,-937.589198,18399.52523
4.03,-936.6495788,18352.8609
4.04,-935.6759342,18306.44816
4.05,-934.7056681,18260.24706
4.06,-933.7779463,18214.29422
4.07,-932.8153758,18168.55275
4.08,-931.8757264,18123.03965
4.09,-930.9403981,18077.77378
4.1,-929.9889288,18032.69792
4.11,-929.0603183,17987.84856
4.12,-928.1360387,17943.24448
4.13,-927.1956973,17898.82869
4.14,-926.2781533,17854.63754
4.15,-925.3639696,17810.65199
4.16,-924.4347827,17766.89084
4.17,-923.5273518,17723.3148
4.18,-922.6242707,17679.98033
4.19,-921.724562,17636.84915
4.2,-920.7906988,17593.92169
4.21,-919.8977889,17551.19544
4.22,-919.0082598,17508.67084
4.23,-918.1221144,17466.34734
4.24,-917.2211726,17424.24356
4.25,-916.3226827,17382.30245
4.26,-915.4467504,17340.579
4.27,-914.5742131,17299.0545
4.28,-913.6679041,17257.72938
4.29,-912.8022098,17216.60115
4.3,-911.9389353,17175.63319
4.31,-911.0610401,17134.88113
4.32,-910.1865978,17094.3254
4.33,-909.3335936,17053.94651
4.34,-908.4650584,17013.74498
4.35,-907.6189075,16973.75623
4.36,-906.7572743,16933.94384
4.37,-905.8981216,16894.28848
4.38,-905.0612964,16854.84437
4.39,-904.209061,16815.57521
4.4,-903.3593129,16776.46176
4.41,-902.5130404,16737.54022
4.42,-901.6702461,16698.81009
4.43,-900.8486998,16660.25211
4.44,-900.0118618,16621.86682
4.45,-899.1775223,16583.63506
4.46,-898.3466709,16545.59286
4.47,-897.5369931,16507.72104
4.48,-896.7121168,16470.02015
4.49,-895.889748,16432.47113
4.5,-895.0708769,16395.10983
4.51,-894.2731062,16357.91718
4.52,-893.4416611,16320.87614
4.53,-892.6313207,16284.00293
4.54,-891.8420262,16247.2971
4.55,-891.0376936,16210.75923
4.56,-890.2358837,16174.37041
4.57,-889.419121,16138.14872
4.58,-888.64083,16102.07432
4.59,-887.8475906,16066.16627
4.6,-887.0578728,16030.44155
4.61,-886.2696978,15994.82811
4.62,-885.4850488,15959.39722
4.63,-884.7029373,15924.1127
4.64,-883.9233652,15888.97417
4.65,-883.1463345,15853.98129
4.66,-882.372839,15819.1693
4.67,-881.5836188,15784.4849
4.68,-880.8324954,15749.94406
4.69,-880.0666432,15715.56566
4.7,-879.3033427,15681.33107
4.71,-878.542596,15647.23995
4.72,-877.7844051,15613.29196
4.73,-877.0116096,15579.5049
4.74,-876.2585553,15545.84209
4.75,-875.5080625,15512.32138
4.76,-874.7601334,15478.94242
4.77,-873.9976839,15445.72294
4.78,-873.2549069,15412.62643
4.79,-872.5146993,15379.67065
4.8,-871.7770632,15346.85525
4.81,-871.023995,15314.1629
4.82,-870.2915262,15281.6273
4.83,-869.5436662,15249.21411
4.84,-868.833327,15216.939
4.85,-868.0906641,15184.80365
4.86,-867.3675385,15152.78881
4.87,-866.6300985,15120.92999
4.88,-865.9121628,15089.19105
4.89,-865.1789564,15057.57272
4.9,-864.4830623,15026.09058
4.91,-863.7550751,14994.74628
4.92,-863.0287209,14963.5039
4.93,-862.3227859,14932.41458
4.94,-861.6184512,14901.42663
4.95,-860.8999622,14870.59211
4.96,-860.2008464,14839.87515
4.97,-859.4866176,14809.2765
4.98,-858.7917297,14778.79489
4.99,-858.0994486,14748.44773
5,-857.3921126,14718.21804
5.01,-856.7040695,14688.10456
5.02,-856.0186387,14658.12466
5.03,-855.3182106,14628.26141
5.04,-854.6194334,14598.49695
5.05,-853.9408856,14568.8818
5.06,-853.2473974,14539.38248
5.07,-852.5555648,14509.98119
5.08,-851.8829144,14480.69425
5.09,-851.19538,14451.5224
5.1,-850.5105061,14422.48187
5.11,-849.844768,14393.55489
5.12,-849.1806585,14364.72473
5.13,-848.5017394,14336.00864
5.14,-847.8254873,14307.42279
5.15,-847.1683096,14278.94946
5.16,-846.4963779,14250.5894
5.17,-845.8424874,14222.30762
5.18,-845.1575243,14194.15603
5.19,-844.4916078,14166.116
5.2,-843.8446896,14138.18726
5.21,-843.1994132,14110.35327
5.22,-842.5394918,14082.63113
5.23,-841.8985235,14055.01957
5.24,-841.2256871,14027.5031
5.25,-840.5890496,14000.11301
5.26,-839.9206123,13972.81754
5.27,-839.287307,13945.61451
5.28,-838.639464,13918.52191
5.29,-838.010485,13891.53849
5.3,-837.3670037,13864.66502
5.31,-836.725211,13837.88411
5.32,-836.085108,13811.19556
5.33,-835.4638104,13784.6153
5.34,-834.8109819,13758.12799
5.35,-834.1769618,13731.74851
5.36,-833.5617036,13705.47664
5.37,-832.9310587,13679.28003
5.38,-832.3031181,13653.20764
5.39,-831.6768764,13627.22615
5.4,-831.0523349,13601.33538
5.41,-830.4294947,13575.53513
5.42,-829.8083571,13549.82523
5.43,-829.2058814,13524.22142
5.44,-828.5722025,13498.70856
5.45,-827.9571882,13473.30136
5.46,-827.3438818,13447.9837
