W,E1,E2
514.1,-167.2136218,77.44785082
514.2,-167.13088,77.40326089
514.3,-167.0481785,77.35870406
514.4,-166.9655175,77.31418046
514.5,-166.8828971,77.26969019
514.6,-166.8003173,77.22523337
514.7,-166.7177782,77.1808101
514.8,-166.63528,77.1364205
514.9,-166.5528227,77.09206467
515,-166.4704064,77.04774273
515.1,-166.3880313,77.00345478
515.2,-166.3056974,76.95920095
515.3,-166.2234048,76.91498133
515.4,-166.1411536,76.87079604
515.5,-166.0589439,76.82664519
515.6,-165.9767758,76.7825289
515.7,-165.8946495,76.73844726
515.8,-165.812565,76.6944004
515.9,-165.7305223,76.65038842
516,-165.6485217,76.60641143
516.1,-165.5665631,76.56246955
516.2,-165.4846467,76.51856288
516.3,-165.4027727,76.47469154
516.4,-165.320941,76.43085563
516.5,-165.2391518,76.38705527
516.6,-165.1574051,76.34329057
516.7,-165.0757012,76.29956164
516.8,-164.99404,76.25586858
516.9,-164.9124217,76.21221152
517,-164.8308464,76.16859055
517.1,-164.7493141,76.1250058
517.2,-164.6678249,76.08145737
517.3,-164.5863791,76.03794537
517.4,-164.5049766,75.99446991
517.5,-164.4236175,75.9510311
517.6,-164.342302,75.90762907
517.7,-164.2610301,75.8642639
517.8,-164.1798019,75.82093572
517.9,-164.0986176,75.77764464
518,-164.0174773,75.73439077
518.1,-163.9363809,75.69117421
518.2,-163.8553287,75.64799508
518.3,-163.7743207,75.60485349
518.4,-163.6933571,75.56174955
518.5,-163.6124378,75.51868337
518.6,-163.5315631,75.47565506
518.7,-163.4507329,75.43266474
518.8,-163.3699475,75.3897125
518.9,-163.2892069,75.34679847
519,-163.2085112,75.30392276
519.1,-163.1278605,75.26108546
519.2,-163.0472549,75.21828671
519.3,-162.9666944,75.1755266
519.4,-162.8861793,75.13280524
519.5,-162.8057095,75.09012275
519.6,-162.7252852,75.04747924
519.7,-162.6449065,75.00487482
519.8,-162.5645735,74.9623096
519.9,-162.4842863,74.91978369
520,-162.4040449,74.8772972
520.1,-162.3238495,74.83485024
520.2,-162.2437001,74.79244292
520.3,-162.1635969,74.75007536
520.4,-162.08354,74.70774766
520.5,-162.0035294,74.66545993
520.6,-161.9235653,74.62321229
520.7,-161.8436477,74.58100484
520.8,-161.7637767,74.5388377
520.9,-161.6839525,74.49671097
521,-161.6041752,74.45462478
521.1,-161.5244447,74.41257922
521.2,-161.4447613,74.37057441
521.3,-161.3651251,74.32861046
521.4,-161.285536,74.28668748
521.5,-161.2059943,74.24480558
521.6,-161.1265,74.20296487
521.7,-161.0470531,74.16116546
521.8,-160.967654,74.11940747
521.9,-160.8883025,74.077691
522,-160.8089988,74.03601616
522.1,-160.729743,73.99438307
522.2,-160.6505352,73.95279184
522.3,-160.5713756,73.91124257
522.4,-160.4922641,73.86973538
522.5,-160.4132009,73.82827038
522.6,-160.334186,73.78684767
522.7,-160.2552197,73.74546737
522.8,-160.1763019,73.7041296
522.9,-160.0974329,73.66283445
523,-160.0186126,73.62158205
523.1,-159.9398411,73.58037249
523.2,-159.8611186,73.5392059
523.3,-159.7824452,73.49808238
523.4,-159.703821,73.45700205
523.5,-159.625246,73.41596501
