Freq_cm_merged_15K,ep1,ep2
464.8823463,6.232052742,0.176094024
466.1436438,6.302722426,0.236027617
467.4085879,6.377326717,0.311012849
468.6778649,6.46455582,0.462977684
471.217037,6.366820922,0.864404876
472.484175,6.136537926,0.997479881
473.7465291,5.896208787,1.08320419
475.0163625,5.535798886,0.792568805
478.8992201,5.967886962,0.176218441
480.204544,6.176221813,0.132189713
481.5106506,6.323808404,0.131009956
482.8233243,6.544625472,0.129100706
484.1405066,6.791126472,0.191129672
485.4605828,7.028157217,0.230046576
486.7950131,7.539143874,0.395900056
488.1314704,7.99238715,0.836238695
489.4697161,8.431119336,1.089994552
490.8700949,10.0244328,3.483934659
493.508166,4.340894109,6.709554751
494.7886671,2.74250283,4.690701684
495.2737276,2.655213246,4.183837564
496.055813,2.08518905,3.768603203
497.2786737,2.176350782,2.307155434
498.5814099,2.699847041,1.577065805
506.7849157,4.401877952,0.295731702
509.5413094,4.701307246,0.307198222
512.3146635,4.766124215,0.352570854
513.7031718,4.80324878,0.339564145
515.0954434,4.840269511,0.327965732
516.4909922,4.869274662,0.30884355
517.8915657,4.919672115,0.299122567
519.2949395,4.950815161,0.30291988
522.1121028,4.9963251,0.300835066
524.9442971,5.037234323,0.301478446
529.2197684,5.071840652,0.275428999
530.654094,5.107300898,0.288538194
537.8718443,5.071369099,0.280310714
540.7884882,5.097140553,0.249041944
546.6682588,5.128793997,0.195260114
549.6339218,5.176485454,0.170230551
552.6156734,5.222618513,0.174952884
557.11625,5.249960657,0.185527212
563.1740865,5.287905186,0.177282791
567.761743,5.335238167,0.172474923
571.89263,5.392827159,0.201153874
576.362773,5.409546332,0.254133841
585.4049145,5.389017052,0.326985939
589.9774107,5.353547773,0.338007267
599.2318991,5.320618199,0.32674375
601.5673872,5.302212569,0.307387473
606.2698994,5.33184565,0.282182856
611.0066361,5.320421298,0.257264035
613.3909855,5.348363442,0.248638725
620.5957139,5.362248606,0.245661551
627.8872385,5.410973206,0.235623885
632.7963708,5.451668245,0.243889346
637.7443263,5.500119751,0.244300811
640.2365573,5.58214575,0.266733663
645.2520604,5.722553764,0.680689777
647.7503348,5.372387282,0.926148513
649.7956941,4.958676549,0.664619642
653.4757441,5.181013155,0.294662756
655.9392965,5.27018512,0.277736327
660.8850406,5.309879747,0.272370252
664.6199137,5.355722263,0.273976894
672.1490647,5.385330577,0.310177333
679.7610159,5.374903561,0.374690378
682.3136485,5.320142613,0.363221938
690.0416321,5.338464688,0.282767616
693.9398897,5.365871934,0.270882336
699.1712233,5.391351458,0.281543024
711.0825736,5.39667015,0.295580562
719.136638,5.409776726,0.297196806
730.0173921,5.425286471,0.308549047
743.849081,5.430970233,0.318235095
757.943851,5.450535849,0.322471662
766.5294559,5.472975603,0.331729006
775.2128313,5.500934181,0.352474695
779.5925073,5.527725342,0.383154675
785.4684936,5.530565831,0.463995074
789.9000509,5.474137061,0.522416743
792.8662766,5.415235477,0.532364188
797.3371783,5.344107438,0.498378295
801.8362327,5.314068782,0.434784467
812.4441087,5.36718404,0.355527325
820.1074446,5.404350664,0.349332158
827.8419599,5.426142543,0.362506933
841.9453945,5.431197746,0.37618425
854.683997,5.445109088,0.371486765
862.7451828,5.475441258,0.369735584
867.6199641,5.509888811,0.390929179
874.1600188,5.522088832,0.452036619
879.0940198,5.491968095,0.495376534
882.397246,5.457319584,0.501190481
889.0436499,5.424159399,0.476927193
897.4268129,5.435715891,0.443831886
902.4972553,5.470638861,0.433937502
905.8956714,5.514175471,0.460001103
912.7254632,5.52707269,0.588303612
916.1529219,5.457265561,0.649368804
919.5907976,5.370409935,0.660385247
923.0412661,5.289958569,0.629322738
926.5059174,5.232831625,0.549427998
933.4904727,5.278146066,0.432573658
938.7656133,5.325262693,0.400796883
945.8444824,5.371994181,0.39738873
960.1582766,5.416994467,0.409387595
974.6886865,5.461529184,0.426701417
983.8836983,5.507772649,0.457356194
989.4432802,5.539743665,0.51468953
998.769822,5.494344944,0.617015991
1004.40481,5.440397611,0.648767865
1011.969863,5.386400927,0.709843086
1015.767293,5.293384186,0.746463967
1017.667785,5.223744503,0.716903652
1025.324868,5.146973305,0.536123061
